لذلك لا توجد طريقة بالنسبة لي لتوصيله هنا في الولايات المتحدة ما لم أستخدم محولًا ,0
حالة جيدة قيمة ممتازة ,1
عظيم لعظم الفك ,1
مرتبط بشاحن لإجراء محادثات تستمر لأكثر من 45 دقيقة. مشاكل رئيسية !! 0
الميكروفون رائع ,1
لا بد لي من هز القابس لجعله يصطف بشكل صحيح للحصول على حجم لائق ,0
إذا كان لديك عدة عشرات أو عدة مئات من جهات الاتصال ، فتخيل متعة إرسال كل واحد منهم واحدًا تلو الآخر ,0
إذا كنت مالك Razr ... يجب أن يكون لديك هذا ,1
وغني عن القول أنني أهدرت أموالي ,0
يا له من مضيعة للمال والوقت!,0
وجودة الصوت رائعة ,1
لقد تأثر كثيرًا عند الانتقال من البطارية الأصلية إلى البطارية الممتدة ,1
إذا تم فصل الاثنين من خلال 5+ أقدام فقط بدأت ألاحظ صوتًا ثابتًا ومشوهًا مفرطًا من سماعة الرأس ,0
جودة جيدة جدا رغم 1
التصميم غريب جدًا لأن مشبك الأذن ليس مريحًا جدًا على الإطلاق ,0
نوصي بشدة لأي شخص لديه هاتف أزرق الأسنان ,1
أنصح الجميع بألا ينخدعوا!
جيد جدًا جدًا! ,1
يعمل بشكل رائع! ,1
ينقر في مكانه بطريقة تجعلك تتساءل عن المدة التي ستستغرقها هذه الآلية ,0
ذهبت إلى موقع Motorola على الويب واتبعت جميع الاتجاهات ولكن لم أتمكن من الاقتران مرة أخرى ,0
لقد اشتريت هذا لاستخدامه مع Kindle Fire الخاص بي وأحببته تمامًا ,1
الإعلانات التجارية هي الأكثر تضليلًا ,0
لا يزال يتعين علي تشغيل هذه البطارية الجديدة بأقل من شريطين وهي ثلاثة أيام دون شحن ,1
اشتريته لأمي وكانت لديها مشكلة في البطارية ,0
مجموعة كبيرة من أجهزة الكمبيوتر / الهاتف للجيب ,1
لقد امتلكت هذا الهاتف لمدة 7 أشهر حتى الآن ويمكنني القول إنه أفضل هاتف محمول لدي ,1
لا أعتقد أن التعليمات المقدمة كانت مفيدة لي ,0
لم يستطع الناس سماعي أتحدث واضطررت إلى إخراج سماعة الأذن والتحدث على الهاتف ,0
لا يحمل تهمة ,0
هذا هاتف صغير بسيط للاستخدام ولكن الكسر غير مقبول ,0
هذا المنتج مثالي للأشخاص مثلي الذين تكون آذانهم حساسة للغاية ,1
إنه غير صالح للاستعمال في سيارة متحركة بسرعة الطريق السريع 0
لدي عامين آخرين في هذا العقد وأنا أكره هذا الهاتف ,0
يتم تضمين شاحن السيارة وكذلك شاحن التيار المتردد للتأكد من عدم نفاد العصير أبدًا
تحتاج إلى 3 دقائق على الأقل للوصول إلى دفتر هاتفك من وقت تشغيل الهاتف لأول مرة. عمر البطارية قصير ,0
لقد حافظت بشكل جيد للغاية ,1
